player_id,season,game_type,fgm,fga,pts,reb,ast,minutes,games_played,ppm
203.0,2022,regular,434,978,1144,358,175,2379.563333,73,0.48076047572884667
205.0,2022,playoffs,10,28,22,24,11,124.4716667,12,0.17674705082100423
205.0,2022,regular,200,465,541,308,95,1859.79,76,0.29089305781835584
206.0,2022,playoffs,26,45,71,25,6,183.1683333,11,0.3876215867712981
206.0,2022,regular,228,500,588,426,117,1947.841667,79,0.3018725854168721
207.0,2022,playoffs,67,85,153,119,19,417.0483333,20,0.36686395264872285
207.0,2022,regular,127,170,279,292,50,823.55,35,0.33877724485459293
208.0,2022,playoffs,4,7,10,3,9,27.77333333,8,0.36005760926068864
208.0,2022,regular,15,36,44,22,30,119.9166667,5,0.3669214731433158
210.0,2022,playoffs,45,104,116,25,36,206.57,5,0.5615529844604734
210.0,2022,regular,679,1402,1922,289,301,2432.38,68,0.7901725881646782
212.0,2022,playoffs,109,206,291,125,36,694.2933333,23,0.41913120296988454
212.0,2022,regular,254,548,683,344,117,2077.738333,71,0.32872281805275816
214.0,2022,playoffs,33,77,94,21,16,157.4066667,4,0.5971792807172125
214.0,2022,regular,593,1267,1671,364,273,2963.176667,83,0.563921827074781
215.0,2022,playoffs,25,53,76,33,18,264.8616667,15,0.28694224025284365
215.0,2022,regular,216,476,641,363,131,2044.761667,79,0.3134839675180589
218.0,2022,regular,59,72,125,119,11,358.535,36,0.3486409973921653
219.0,2022,playoffs,8,20,19,16,5,101.5083333,8,0.18717675073874943
219.0,2022,regular,281,617,755,346,130,1912.853333,80,0.39469832159892
220.0,2022,playoffs,75,158,207,34,39,418.5816667,23,0.4945271531644938
220.0,2022,regular,88,237,268,69,46,690.46,42,0.38814703241317383
221.0,2022,regular,263,594,715,212,204,1730.228333,74,0.41324025642342777
222.0,2022,playoffs,0,0,0,0,1,3.883333333,1,0.0
222.0,2022,regular,92,220,247,74,89,845.2566667,63,0.2922189315161778
223.0,2022,regular,252,590,738,277,98,1816.403333,73,0.4062974266740128
225.0,2022,regular,285,469,754,202,133,956.0983333,29,0.7886218119401464
226.0,2022,playoffs,15,35,42,10,7,147.8066667,5,0.2841549771584153
226.0,2022,regular,131,295,363,101,108,883.885,59,0.4106869106275138
227.0,2022,regular,296,721,838,231,304,1267.755,36,0.6610109997594171
228.0,2022,playoffs,99,246,279,31,78,671.9466667,22,0.41521152470358696
228.0,2022,regular,228,567,641,145,167,1758.676667,68,0.36447859463185794
230.0,2022,playoffs,17,45,48,17,11,184.005,10,0.2608624765631369
230.0,2022,regular,113,300,346,67,93,806.91,40,0.42879627219888217
231.0,2022,playoffs,12,22,32,6,11,56.73166667,10,0.5640588736117947
