player_id,team_id,league_id,full_name,position_simple,status,jersey_number
378,25.0,NBA,Anthony Gill,B,active,16
380,28.0,NBA,Desmond Bane,W,active,22
381,13.0,NBA,Day'Ron Sharpe,B,active,20
382,3.0,NBA,Lamar Stevens,W,active,77
383,3.0,NBA,Neemias Queta,B,active,88
386,25.0,NBA,Corey Kispert,W,active,24
387,10.0,NBA,Joshua Primo,W,active,12
388,28.0,NBA,Ziaire Williams,W,active,8
389,20.0,NBA,Kessler Edwards,W,active,17
390,5.0,NBA,Evan Mobley,B,active,4
391,20.0,NBA,Davion Mitchell,G,active,15
393,20.0,NBA,Chris Duarte,W,active,3
394,,,Jordan Schakel,W,active,8
395,,,Joe Wieskamp,W,active,10
397,13.0,NBA,Cam Thomas,W,active,24
401,19.0,NBA,Isaiah Jackson,B,active,22
402,23.0,NBA,Thaddeus Young,B,active,21
404,28.0,NBA,Santi Aldama,B,active,7
405,,,David Duke,W,active,1
409,,,Duane Washington Jr.,G,inactive,
410,,,Khem Birch,B,inactive,24
411,16.0,NBA,Eric Gordon,W,active,23
412,21.0,NBA,Patrick Beverley,G,active,22
413,6.0,NBA,Cory Joseph,G,active,1
414,4.0,NBA,DeAndre Jordan,B,active,6
417,7.0,NBA,Terry Taylor,W,active,32
418,23.0,NBA,Pascal Siakam,B,active,43
419,,,John Wall,G,inactive,
420,12.0,NBA,D'Angelo Russell,G,active,1
421,26.0,NBA,Kelly Olynyk,B,active,41
422,10.0,NBA,James Harden,G,active,1
425,,,Andre Iguodala,W,inactive,9
426,8.0,NBA,Fred VanVleet,G,active,5
427,23.0,NBA,Dennis Schroder,G,active,17
428,14.0,NBA,Karl-Anthony Towns,B,active,32
429,,,Rodney McGruder,W,inactive,19
430,,NBA,Danny Green,W,inactive,
432,,,Mamadi Diakite,B,active,21
433,6.0,NBA,Stephen Curry,G,active,30
434,23.0,NBA,O.G. Anunoby,W,active,3
435,12.0,NBA,Christian Wood,B,active,35
436,11.0,NBA,Malik Beasley,W,active,5
437,18.0,NBA,Jerami Grant,B,active,9
438,21.0,NBA,Tobias Harris,W,active,12
442,23.0,NBA,Chris Boucher,B,active,25
444,12.0,NBA,Taurean Prince,W,active,12
445,,,Frank Jackson,G,inactive,3
446,21.0,NBA,Joel Embiid,B,active,21
449,6.0,NBA,Klay Thompson,W,active,11
450,3.0,NBA,Svi Mykhailiuk,W,active,50
451,1.0,NBA,Bruno Fernando,B,active,24
453,27.0,NBA,Marvin Bagley III,B,active,35
454,5.0,NBA,Georges Niang,B,active,20
457,6.0,NBA,Draymond Green,B,active,23
458,23.0,NBA,Gary Trent Jr.,W,active,33
459,,,Kevin Porter Jr.,W,inactive,3
460,16.0,NBA,Josh Okogie,W,active,2
461,,,Hamidou Diallo,W,active,6
462,21.0,NBA,Furkan Korkmaz,W,active,30
465,23.0,NBA,Otto Porter Jr.,W,active,32
467,1.0,NBA,Garrison Mathews,W,active,25
468,12.0,NBA,Jarred Vanderbilt,B,active,2
470,14.0,NBA,Shake Milton,G,active,18
472,,,KZ Okpala,W,inactive,
473,6.0,NBA,Andrew Wiggins,W,active,22
474,16.0,NBA,Yuta Watanabe,W,active,18
475,8.0,NBA,Jalen Green,W,active,4
476,14.0,NBA,Jordan McLaughlin,G,active,6
477,27.0,NBA,Killian Hayes,G,active,7
480,,,Devon Dotson,G,active,15
481,6.0,NBA,Kevon Looney,B,active,5
483,14.0,NBA,Daishen Nix,G,active,12
484,28.0,NBA,Jaylen Nowell,W,active,24
485,1.0,NBA,Saddiq Bey,W,active,41
486,22.0,NBA,Charles Bassey,B,active,28
489,6.0,NBA,Gary Payton II,G,active,0
490,23.0,NBA,Precious Achiuwa,B,active,5
491,21.0,NBA,Kenyon Martin Jr.,B,active,1
492,14.0,NBA,Naz Reid,B,active,11
493,27.0,NBA,Isaiah Stewart,B,active,28
494,18.0,NBA,Matisse Thybulle,W,active,4
496,,,Louis King,W,active,7
497,16.0,NBA,Damion Lee,W,active,10
498,23.0,NBA,Malachi Flynn,G,active,22
499,,,Anthony Lamb,W,active,
500,14.0,NBA,Anthony Edwards,W,active,5
501,16.0,NBA,Saben Lee,G,active,38
507,17.0,NBA,Trevelin Queen,W,active,12
508,14.0,NBA,Jaden McDaniels,W,active,3
509,4.0,NBA,Braxton Key,B,active,11
510,21.0,NBA,Tyrese Maxey,G,active,0
513,,,Juan Toscano-Anderson,W,active,95
514,,,Justin Champagnie,W,active,11
515,8.0,NBA,Jae'Sean Tate,W,active,8
516,,,Leandro Bolmaro,W,active,10
517,14.0,NBA,Luka Garza,B,active,55
518,21.0,NBA,Paul Reed,B,active,44
521,25.0,NBA,Jordan Poole,W,active,13
522,23.0,NBA,Scottie Barnes,W,active,4
523,26.0,NBA,Josh Christopher,W,active,13
524,,,Nathan Knight,B,inactive,
525,27.0,NBA,Isaiah Livers,W,active,12
526,24.0,NBA,Isaiah Joe,W,active,11
530,3.0,NBA,Dalano Banton,G,active,45
531,8.0,NBA,Alperen Sengun,B,active,28
532,,,McKinley Wright IV,G,active,
533,27.0,NBA,Cade Cunningham,G,active,2
534,21.0,NBA,Jaden Springer,W,active,11
536,,,Chris Silva,B,active,30
537,27.0,NBA,James Wiseman,B,active,13
539,6.0,NBA,Usman Garuba,B,active,12
545,6.0,NBA,Jonathan Kuminga,W,active,0
553,6.0,NBA,Moses Moody,W,active,4
632,5.0,NBA,Sam Merrill,W,active,5
672,,,Jeff Dowtin Jr.,G,active,21
744,,,Carlik Jones,G,inactive,22
760,4.0,NBA,Jay Huff,B,active,30
768,,,Mac McClung,G,active,0
776,25.0,NBA,Eugene Omoruyi,B,active,97
784,16.0,NBA,Jordan Goodwin,G,active,0
800,26.0,NBA,Micah Potter,B,active,25
832,24.0,NBA,Olivier Sarr,B,active,30
848,25.0,NBA,Mike Muscala,B,active,35
864,24.0,NBA,Shai Gilgeous-Alexander,G,active,2
872,24.0,NBA,Kenrich Williams,W,active,34
880,,,Darius Bazley,B,active,13
888,24.0,NBA,Luguentz Dort,W,active,5
904,5.0,NBA,Ty Jerome,G,active,2
912,,,Isaiah Roby,B,active,7
920,29.0,NBA,Theo Maledon,G,active,9
928,24.0,NBA,Aleksej Pokusevski,W,active,17
936,,,Vit Krejci,W,active,17
952,24.0,NBA,Lindy Waters III,W,active,12
960,0.0,NBA,Jeremiah Robinson-Earl,B,active,50
968,24.0,NBA,Tre Mann,G,active,23
976,24.0,NBA,Josh Giddey,G,active,3
984,24.0,NBA,Aaron Wiggins,W,active,21
