player_id,team_id,league_id,first_name,last_name,full_name,jersey_number,position_simple,status
525,27,NBA,Isaiah,Livers,Isaiah Livers,12,W,active
526,24,NBA,Isaiah,Joe,Isaiah Joe,11,W,active
530,3,NBA,Dalano,Banton,Dalano Banton,45,G,active
531,8,NBA,Alperen,Sengun,Alperen Sengun,28,B,active
532,,,McKinley,Wright IV,McKinley Wright IV,,G,active
533,27,NBA,Cade,Cunningham,Cade Cunningham,2,G,active
534,21,NBA,Jaden,Springer,Jaden Springer,11,W,active
536,,,Chris,Silva,Chris Silva,30,B,active
537,27,NBA,James,Wiseman,James Wiseman,13,B,active
539,6,NBA,Usman,Garuba Alari,Usman Garuba,12,B,active
545,6,NBA,Jonathan,Kuminga,Jonathan Kuminga,0,W,active
553,6,NBA,Moses,Moody,Moses Moody,4,W,active
632,5,NBA,Sam,Merrill,Sam Merrill,5,W,active
672,,,Jeff,Dowtin Jr.,Jeff Dowtin Jr.,21,G,active
744,,,Carlik,Jones,Carlik Jones,22,G,inactive
760,4,NBA,Jay,Huff,Jay Huff,30,B,active
768,,,Mac,McClung,Mac McClung,0,G,active
776,25,NBA,Eugene,Omoruyi,Eugene Omoruyi,97,B,active
784,16,NBA,Jordan,Goodwin,Jordan Goodwin,0,G,active
800,26,NBA,Micah,Potter,Micah Potter,25,B,active
832,24,NBA,Olivier,Sarr,Olivier Sarr,30,B,active
848,25,NBA,Mike,Muscala,Mike Muscala,35,B,active
864,24,NBA,Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,2,G,active
872,24,NBA,Kenrich,Williams,Kenrich Williams,34,W,active
880,,,Darius,Bazley,Darius Bazley,13,B,active
888,24,NBA,Luguentz,Dort,Luguentz Dort,5,W,active
904,5,NBA,Ty,Jerome,Ty Jerome,2,G,active
912,,,Isaiah,Roby,Isaiah Roby,7,B,active
920,29,NBA,Theo,Maledon,Theo Maledon,9,G,active
928,24,NBA,Aleksej,Pokusevski,Aleksej Pokusevski,17,W,active
936,,,Vit,Krejci,Vit Krejci,17,W,active
952,24,NBA,Lindy,Waters III,Lindy Waters III,12,W,active
960,0,NBA,Jeremiah,Robinson-Earl,Jeremiah Robinson-Earl,50,B,active
968,24,NBA,Tre,Mann,Tre Mann,23,G,active
976,24,NBA,Josh,Giddey,Josh Giddey,3,G,active
984,24,NBA,Aaron,Wiggins,Aaron Wiggins,21,W,active
1008,11,NBA,Damian,Lillard,Damian Lillard,0,G,active
1024,16,NBA,Jusuf,Nurkic,Jusuf Nurkic,20,B,active
1032,17,NBA,Joe,Ingles,Joe Ingles,7,W,active
1040,,,Justise,Winslow,Justise Winslow,11,W,active
1048,26,NBA,Kris,Dunn,Kris Dunn,11,G,active
1056,15,NBA,Josh,Hart,Josh Hart,3,W,active
1064,18,NBA,Anfernee,Simons,Anfernee Simons,1,G,active
1072,16,NBA,Drew,Eubanks,Drew Eubanks,14,B,active
1096,16,NBA,Nassir,Little,Nassir Little,25,W,active
1136,2,NBA,Greg,Brown III,Greg Brown III,36,W,active
1144,13,NBA,Keon,Johnson,Keon Johnson,45,G,active
1152,13,NBA,Trendon,Watford,Trendon Watford,9,W,active
1160,11,NBA,Brook,Lopez,Brook Lopez,11,B,active
